rank,city,state,population,percent
216,Surprise,Arizona,123546,281.90%
217,Denton,Texas,123099,47.10%
218,Victorville,California,121096,87.60%
219,Evansville,Indiana,120310,-0.80%
220,Santa Clara,California,120245,17.40%
221,Abilene,Texas,120099,3.60%
222,Athens-Clarke County,Georgia,119980,19.00%
223,Vallejo,California,118837,1.20%
224,Allentown,Pennsylvania,118577,11.20%
225,Norman,Oklahoma,118197,22.00%
226,Beaumont,Texas,117796,3.70%
227,Independence,Missouri,117240,3.20%
228,Murfreesboro,Tennessee,117044,65.10%
229,Ann Arbor,Michigan,117025,2.00%
230,Springfield,Illinois,117006,4.20%
231,Berkeley,California,116768,13.30%
232,Peoria,Illinois,116513,3.00%
233,Provo,Utah,116288,10.00%
234,El Monte,California,115708,-0.40%
235,Columbia,Missouri,115276,34.00%
236,Lansing,Michigan,113972,-4.40%
237,Fargo,North Dakota,113658,24.90%
238,Downey,California,113242,5.30%
239,Costa Mesa,California,112174,2.40%
240,Wilmington,North Carolina,112067,24.80%
241,Arvada,Colorado,111707,9.20%
242,Inglewood,California,111542,-1.00%
243,Miami Gardens,Florida,111378,10.50%
244,Carlsbad,California,110972,39.70%
245,Westminster,Colorado,110945,9.40%
246,Rochester,Minnesota,110742,23.90%
247,Odessa,Texas,110720,22.30%
248,Manchester,New Hampshire,110378,2.90%
249,Elgin,Illinois,110145,16.00%
250,West Jordan,Utah,110077,38.40%
251,Round Rock,Texas,109821,81.00%
252,Clearwater,Florida,109703,0.10%
253,Waterbury,Connecticut,109676,2.20%
254,Gresham,Oregon,109397,20.70%
255,Fairfield,California,109320,12.80%
256,Billings,Montana,109059,18.60%
257,Lowell,Massachusetts,108861,3.40%
258,San Buenaventura (Ventura),California,108817,7.40%
259,Pueblo,Colorado,108249,5.90%
260,High Point,North Carolina,107741,24.30%
261,West Covina,California,107740,2.30%
262,Richmond,California,107571,7.90%
263,Murrieta,California,107479,107.40%
264,Cambridge,Massachusetts,107289,5.50%
265,Antioch,California,107100,16.90%
266,Temecula,California,106780,55.40%
267,Norwalk,California,106589,1.90%
268,Centennial,Colorado,106114,3.50%
269,Everett,Washington,105370,9.40%
270,Palm Bay,Florida,104898,31.70%
271,Wichita Falls,Texas,104898,0.70%
272,Green Bay,Wisconsin,104779,1.90%
273,Daly City,California,104739,1.00%
274,Burbank,California,104709,4.20%
275,Richardson,Texas,104475,13.20%
276,Pompano Beach,Florida,104410,4.00%
277,North Charleston,South Carolina,104054,27.40%
278,Broken Arrow,Oklahoma,103500,28.20%
279,Boulder,Colorado,103166,9.00%
280,West Palm Beach,Florida,102436,23.50%
281,Santa Maria,California,102216,30.90%
282,El Cajon,California,102211,7.40%
283,Davenport,Iowa,102157,3.90%
284,Rialto,California,101910,9.80%
285,Las Cruces,New Mexico,101324,37.60%
286,San Mateo,California,101128,9.00%
287,Lewisville,Texas,101074,28.90%
288,South Bend,Indiana,100886,-6.80%
289,Lakeland,Florida,100710,18.30%
290,Erie,Pennsylvania,100671,-2.80%
291,Tyler,Texas,100223,18.60%
292,Pearland,Texas,100065,117.20%
293,College Station,Texas,100050,45.20%
294,Kenosha,Wisconsin,99889,9.50%
295,Sandy Springs,Georgia,99770,17.40%
296,Clovis,California,99769,42.60%
297,Flint,Michigan,99763,-20.00%
298,Roanoke,Virginia,98465,3.80%
299,Albany,New York,98424,4.10%
300,Jurupa Valley,California,98030,
301,Compton,California,97877,4.50%
302,San Angelo,Texas,97492,10.20%
303,Hillsboro,Oregon,97368,36.40%
304,Lawton,Oklahoma,97151,4.90%
305,Renton,Washington,97003,88.40%
306,Vista,California,96929,7.70%
307,Davie,Florida,96830,17.70%
308,Greeley,Colorado,96539,23.10%
309,Mission Viejo,California,96346,2.90%
310,Portsmouth,Virginia,96205,-4.20%
311,Dearborn,Michigan,95884,-2.00%
312,South Gate,California,95677,-0.80%
313,Tuscaloosa,Alabama,95334,21.10%
314,Livonia,Michigan,95208,-5.40%
315,New Bedford,Massachusetts,95078,1.20%
316,Vacaville,California,94275,5.40%
317,Brockton,Massachusetts,94089,-0.30%
318,Roswell,Georgia,94034,15.20%
319,Beaverton,Oregon,93542,17.00%
320,Quincy,Massachusetts,93494,5.80%
321,Sparks,Nevada,93282,39.40%
322,Yakima,Washington,93257,11.70%
323,Lee's Summit,Missouri,93184,31.20%
324,Federal Way,Washington,92734,8.80%
325,Carson,California,92599,2.90%
326,Santa Monica,California,92472,9.60%
327,Hesperia,California,92147,46.10%
328,Allen,Texas,92020,104.00%
329,Rio Rancho,New Mexico,91956,74.40%
330,Yuma,Arizona,91923,16.20%
331,Westminster,California,91739,3.90%
332,Orem,Utah,91648,8.50%
333,Lynn,Massachusetts,91589,2.60%
334,Redding,California,91119,11.90%
335,Spokane Valley,Washington,91113,12.60%
336,Miami Beach,Florida,91026,3.30%
337,League City,Texas,90983,98.30%
338,Lawrence,Kansas,90811,12.70%
339,Santa Barbara,California,90412,0.90%
340,Plantation,Florida,90268,8.60%
341,Sandy,Utah,90231,1.30%
342,Sunrise,Florida,90116,4.60%
343,Macon,Georgia,89981,-7.30%
344,Longmont,Colorado,89919,24.40%
345,Boca Raton,Florida,89407,7.50%
346,San Marcos,California,89387,60.00%
347,Greenville,North Carolina,89130,41.90%
348,Waukegan,Illinois,88826,0.50%
349,Fall River,Massachusetts,88697,-3.70%
350,Chico,California,88077,14.20%
351,Newton,Massachusetts,87971,4.90%
352,San Leandro,California,87965,10.30%
353,Reading,Pennsylvania,87893,8.00%
354,Norwalk,Connecticut,87776,5.60%
355,Fort Smith,Arkansas,87650,8.60%
356,Newport Beach,California,87273,10.40%
357,Asheville,North Carolina,87236,19.60%
358,Nashua,New Hampshire,87137,0.40%
359,Edmond,Oklahoma,87004,26.90%
360,Whittier,California,86635,3.30%
361,Nampa,Idaho,86518,57.90%
362,Bloomington,Minnesota,86319,1.30%
363,Deltona,Florida,86290,23.10%
364,Hawthorne,California,86199,2.30%
365,Duluth,Minnesota,86128,-0.10%
366,Carmel,Indiana,85927,60.40%
367,Suffolk,Virginia,85728,33.50%
368,Clifton,New Jersey,85390,7.90%
369,Citrus Heights,California,85285,-0.10%
370,Livermore,California,85156,15.10%
371,Tracy,California,84691,45.90%
372,Alhambra,California,84577,-0.70%
373,Kirkland,Washington,84430,87.50%
374,Trenton,New Jersey,84349,-1.20%
375,Ogden,Utah,84249,8.60%
376,Hoover,Alabama,84126,32.70%
377,Cicero,Illinois,84103,-1.60%
378,Fishers,Indiana,83891,114.80%
379,Sugar Land,Texas,83860,29.10%
380,Danbury,Connecticut,83684,11.40%
381,Meridian,Idaho,83596,127.60%
382,Indio,California,83539,66.00%
383,Concord,North Carolina,83506,47.40%
384,Menifee,California,83447,95.00%
385,Champaign,Illinois,83424,18.30%
386,Buena Park,California,82882,6.10%
387,Troy,Michigan,82821,2.20%
388,O'Fallon,Missouri,82809,62.60%
389,Johns Creek,Georgia,82788,36.50%
390,Bellingham,Washington,82631,21.80%
391,Westland,Michigan,82578,-4.70%
392,Bloomington,Indiana,82575,16.10%
393,Sioux City,Iowa,82459,-2.90%
394,Warwick,Rhode Island,81971,-4.60%
395,Hemet,California,81750,37.60%
396,Longview,Texas,81443,11.60%
397,Farmington Hills,Michigan,81295,-0.90%
398,Bend,Oregon,81236,54.30%
399,Lakewood,California,81121,2.10%
400,Merced,California,81102,25.40%
401,Mission,Texas,81050,74.50%
402,Chino,California,80988,15.60%
403,Redwood City,California,80872,7.10%
404,Edinburg,Texas,80836,65.10%
405,Cranston,Rhode Island,80566,1.40%
406,Parma,Ohio,80429,-5.90%
407,New Rochelle,New York,79446,9.90%
408,Lake Forest,California,79312,4.20%
409,Napa,California,79068,8.40%
410,Hammond,Indiana,78967,-4.60%
411,Fayetteville,Arkansas,78960,32.90%
412,Bloomington,Illinois,78902,20.10%
413,Avondale,Arizona,78822,111.50%
414,Somerville,Massachusetts,78804,1.60%
415,Palm Coast,Florida,78740,137.20%
416,Bryan,Texas,78709,19.30%
417,Gary,Indiana,78450,-23.40%
418,Largo,Florida,78409,5.10%
419,Brooklyn Park,Minnesota,78373,16.00%
420,Tustin,California,78327,15.60%
421,Racine,Wisconsin,78199,-4.40%
422,Deerfield Beach,Florida,78041,4.80%
423,Lynchburg,Virginia,78014,19.50%
424,Mountain View,California,77846,10.10%
425,Medford,Oregon,77677,17.10%
426,Lawrence,Massachusetts,77657,7.50%
427,Bellflower,California,77593,6.30%
428,Melbourne,Florida,77508,5.90%
429,St. Joseph,Missouri,77147,4.10%
430,Camden,New Jersey,76903,-3.60%
431,St. George,Utah,76817,53.10%
432,Kennewick,Washington,76762,29.10%
433,Baldwin Park,California,76635,0.80%
434,Chino Hills,California,76572,13.60%
435,Alameda,California,76419,5.40%
436,Albany,Georgia,76185,-0.60%
437,Arlington Heights,Illinois,75994,-0.60%
438,Scranton,Pennsylvania,75806,0.00%
439,Evanston,Illinois,75570,1.90%
440,Kalamazoo,Michigan,75548,-1.90%
441,Baytown,Texas,75418,13.10%
442,Upland,California,75413,9.50%
443,Springdale,Arkansas,75229,57.10%
444,Bethlehem,Pennsylvania,75018,5.20%
445,Schaumburg,Illinois,74907,-0.50%
446,Mount Pleasant,South Carolina,74885,53.20%
447,Auburn,Washington,74860,34.90%
448,Decatur,Illinois,74710,-8.70%
449,San Ramon,California,74513,65.80%
450,Pleasanton,California,74110,15.20%
451,Wyoming,Michigan,74100,6.50%
452,Lake Charles,Louisiana,74024,3.00%
453,Plymouth,Minnesota,73987,12.00%
454,Bolingbrook,Illinois,73936,29.70%
455,Pharr,Texas,73790,55.70%
456,Appleton,Wisconsin,73596,4.50%
457,Gastonia,North Carolina,73209,8.20%
458,Folsom,California,73098,38.60%
459,Southfield,Michigan,73006,-6.70%
460,Rochester Hills,Michigan,72952,5.70%
461,New Britain,Connecticut,72939,1.90%
462,Goodyear,Arizona,72864,271.00%
463,Canton,Ohio,72535,-10.30%
464,Warner Robins,Georgia,72531,45.70%
465,Union City,California,72528,7.40%
466,Perris,California,72326,98.70%
467,Manteca,California,71948,42.70%
468,Iowa City,Iowa,71591,13.80%
469,Jonesboro,Arkansas,71551,28.30%
470,Wilmington,Delaware,71525,-1.60%
471,Lynwood,California,71371,2.00%
472,Loveland,Colorado,71334,37.40%
473,Pawtucket,Rhode Island,71172,-2.50%
474,Boynton Beach,Florida,71097,17.30%
475,Waukesha,Wisconsin,71016,8.00%
476,Gulfport,Mississippi,71012,-0.60%
477,Apple Valley,California,70924,29.90%
478,Passaic,New Jersey,70868,4.30%
479,Rapid City,South Dakota,70812,17.90%
480,Layton,Utah,70790,20.20%
481,Lafayette,Indiana,70373,14.50%
482,Turlock,California,70365,23.50%
483,Muncie,Indiana,70316,-0.70%
484,Temple,Texas,70190,27.10%
485,Missouri City,Texas,70185,31.10%
486,Redlands,California,69999,9.40%
487,Santa Fe,New Mexico,69976,10.50%
488,Lauderhill,Florida,69813,4.20%
489,Milpitas,California,69783,11.00%
490,Palatine,Illinois,69350,4.50%
491,Missoula,Montana,69122,19.70%
492,Rock Hill,South Carolina,69103,36.00%
493,Jacksonville,North Carolina,69079,5.00%
494,Franklin,Tennessee,68886,48.50%
495,Flagstaff,Arizona,68667,29.30%
496,Flower Mound,Texas,68609,32.50%
497,Weston,Florida,68388,34.50%
498,Waterloo,Iowa,68366,-0.50%
499,Union City,New Jersey,68247,1.70%
500,Mount Vernon,New York,68224,-0.20%
501,Fort Myers,Florida,68190,31.20%
502,Dothan,Alabama,68001,16.60%
503,Rancho Cordova,California,67911,26.40%
504,Redondo Beach,California,67815,6.70%
505,Jackson,Tennessee,67685,12.90%
506,Pasco,Washington,67599,98.50%
507,St. Charles,Missouri,67569,11.30%
508,Eau Claire,Wisconsin,67545,8.70%
509,North Richland Hills,Texas,67317,20.20%
510,Bismarck,North Dakota,67034,20.10%
511,Yorba Linda,California,67032,13.40%
512,Kenner,Louisiana,66975,-4.80%
513,Walnut Creek,California,66900,3.50%
514,Frederick,Maryland,66893,25.90%
515,Oshkosh,Wisconsin,66778,5.30%
516,Pittsburg,California,66695,16.60%
517,Palo Alto,California,66642,13.70%
518,Bossier City,Louisiana,66333,17.40%
519,Portland,Maine,66318,3.20%
520,St. Cloud,Minnesota,66297,10.90%
521,Davis,California,66205,11.90%
522,South San Francisco,California,66174,9.10%
523,Camarillo,California,66086,14.90%
524,North Little Rock,Arkansas,66075,9.00%
525,Schenectady,New York,65902,6.70%
526,Gaithersburg,Maryland,65690,24.20%
527,Harlingen,Texas,65665,11.60%
528,Woodbury,Minnesota,65656,39.80%
529,Eagan,Minnesota,65453,2.60%
530,Yuba City,California,65416,27.90%
531,Maple Grove,Minnesota,65415,27.30%
532,Youngstown,Ohio,65184,-20.20%
533,Skokie,Illinois,65176,2.80%
534,Kissimmee,Florida,65173,32.60%
535,Johnson City,Tennessee,65123,16.20%
536,Victoria,Texas,65098,7.50%
537,San Clemente,California,65040,28.60%
538,Bayonne,New Jersey,65028,5.10%
539,Laguna Niguel,California,64652,2.80%
540,East Orange,New Jersey,64544,-7.40%
541,Shawnee,Kansas,64323,32.20%
542,Homestead,Florida,64079,100.70%
544,Rockville,Maryland,64072,34.00%
543,Delray Beach,Florida,64072,6.10%
545,Janesville,Wisconsin,63820,5.60%
546,Conway,Arkansas,63816,46.10%
547,Pico Rivera,California,63771,0.40%
548,Lorain,Ohio,63710,-7.20%
549,Montebello,California,63495,2.00%
550,Lodi,California,63338,10.10%
551,New Braunfels,Texas,63279,64.00%
552,Marysville,Washington,63269,115.70%
553,Tamarac,Florida,63155,12.90%
554,Madera,California,63105,44.40%
555,Conroe,Texas,63032,61.90%
556,Santa Cruz,California,62864,12.50%
557,Eden Prairie,Minnesota,62603,13.30%
558,Cheyenne,Wyoming,62448,16.90%
559,Daytona Beach,Florida,62316,-2.30%
560,Alpharetta,Georgia,62298,33.60%
561,Hamilton,Ohio,62258,2.70%
562,Waltham,Massachusetts,62227,5.00%
563,Coon Rapids,Minnesota,62103,0.60%
564,Haverhill,Massachusetts,62088,5.00%
565,Council Bluffs,Iowa,61969,6.20%
566,Taylor,Michigan,61817,-6.30%
567,Utica,New York,61808,2.20%
568,Ames,Iowa,61792,21.30%
569,La Habra,California,61653,3.60%
570,Encinitas,California,61588,5.80%
571,Bowling Green,Kentucky,61488,24.10%
572,Burnsville,Minnesota,61434,1.90%
573,Greenville,South Carolina,61397,8.20%
574,West Des Moines,Iowa,61255,29.80%
575,Cedar Park,Texas,61238,134.30%
576,Tulare,California,61170,33.30%
577,Monterey Park,California,61085,1.50%
578,Vineland,New Jersey,61050,9.30%
579,Terre Haute,Indiana,61025,2.50%
580,North Miami,Florida,61007,2.00%
581,Mansfield,Texas,60872,114.20%
582,West Allis,Wisconsin,60697,-0.60%
583,Bristol,Connecticut,60568,0.40%
584,Taylorsville,Utah,60519,2.90%
585,Malden,Massachusetts,60509,7.40%
586,Meriden,Connecticut,60456,3.70%
587,Blaine,Minnesota,60407,32.80%
588,Wellington,Florida,60202,55.00%
589,Cupertino,California,60189,14.30%
590,Springfield,Oregon,60177,12.40%
591,Rogers,Arkansas,60112,50.60%
592,St. Clair Shores,Michigan,60070,-4.60%
593,Gardena,California,59957,3.40%
594,Pontiac,Michigan,59887,-11.40%
595,National City,California,59834,10.10%
596,Grand Junction,Colorado,59778,30.90%
597,Rocklin,California,59738,60.30%
598,Chapel Hill,North Carolina,59635,24.10%
599,Casper,Wyoming,59628,19.90%
600,Broomfield,Colorado,59471,50.30%
601,Petaluma,California,59440,8.40%
602,South Jordan,Utah,59366,100.10%
603,Springfield,Ohio,59357,-9.80%
604,Great Falls,Montana,59351,3.90%
605,Lancaster,Pennsylvania,59325,4.50%
606,North Port,Florida,59212,154.60%
607,Lakewood,Washington,59097,1.10%
608,Marietta,Georgia,59089,-3.80%
609,San Rafael,California,58994,5.00%
610,Royal Oak,Michigan,58946,-1.70%
611,Des Plaines,Illinois,58918,3.20%
612,Huntington Park,California,58879,-4.10%
613,La Mesa,California,58642,6.90%
614,Orland Park,Illinois,58590,13.90%
615,Auburn,Alabama,58582,26.40%
616,Lakeville,Minnesota,58562,34.30%
617,Owensboro,Kentucky,58416,7.70%
618,Moore,Oklahoma,58414,41.50%
619,Jupiter,Florida,58298,46.20%
620,Idaho Falls,Idaho,58292,14.00%
621,Dubuque,Iowa,58253,0.90%
622,Bartlett,Tennessee,58226,31.70%
623,Rowlett,Texas,58043,28.60%
624,Novi,Michigan,57960,22.00%
625,White Plains,New York,57866,8.50%
626,Arcadia,California,57639,8.30%
627,Redmond,Washington,57530,26.00%
628,Lake Elsinore,California,57525,96.50%
629,Ocala,Florida,57468,20.80%
630,Tinley Park,Illinois,57282,16.30%
631,Port Orange,Florida,57203,22.80%
632,Medford,Massachusetts,57170,2.70%
633,Oak Lawn,Illinois,57073,3.30%
634,Rocky Mount,North Carolina,56954,-3.10%
635,Kokomo,Indiana,56895,21.30%
636,Coconut Creek,Florida,56792,28.40%
637,Bowie,Maryland,56759,8.60%
638,Berwyn,Illinois,56758,5.10%
639,Midwest City,Oklahoma,56756,4.50%
640,Fountain Valley,California,56707,3.00%
641,Buckeye,Arizona,56683,480.90%
642,Dearborn Heights,Michigan,56620,-3.00%
643,Woodland,California,56590,13.80%
644,Noblesville,Indiana,56540,88.10%
645,Valdosta,Georgia,56481,22.30%
646,Diamond Bar,California,56449,0.10%
647,Manhattan,Kansas,56143,22.80%
648,Santee,California,56105,5.70%
649,Taunton,Massachusetts,56069,0.00%
650,Sanford,Florida,56002,42.80%
651,Kettering,Ohio,55870,-3.10%
652,New Brunswick,New Jersey,55831,15.50%
653,Decatur,Alabama,55816,3.10%
654,Chicopee,Massachusetts,55717,1.70%
655,Anderson,Indiana,55670,-6.60%
656,Margate,Florida,55456,2.70%
657,Weymouth Town,Massachusetts,55419,
658,Hempstead,New York,55361,4.00%
659,Corvallis,Oregon,55298,11.80%
660,Eastvale,California,55191,
661,Porterville,California,55174,20.10%
662,West Haven,Connecticut,55046,5.10%
663,Brentwood,California,55000,122.30%
664,Paramount,California,54980,-0.70%
665,Grand Forks,North Dakota,54932,11.50%
666,Georgetown,Texas,54898,91.90%
667,St. Peters,Missouri,54842,6.50%
668,Shoreline,Washington,54790,2.90%
669,Mount Prospect,Illinois,54771,-2.50%
670,Hanford,California,54686,30.30%
671,Normal,Illinois,54664,19.70%
672,Rosemead,California,54561,1.70%
673,Lehi,Utah,54382,176.30%
674,Pocatello,Idaho,54350,5.40%
675,Highland,California,54291,21.00%
676,Novato,California,54194,13.30%
677,Port Arthur,Texas,54135,-6.00%
678,Carson City,Nevada,54080,2.90%
679,San Marcos,Texas,54076,48.50%
680,Hendersonville,Tennessee,54068,31.70%
681,Elyria,Ohio,53956,-3.70%
682,Revere,Massachusetts,53756,13.40%
683,Pflugerville,Texas,53752,123.40%
684,Greenwood,Indiana,53665,46.00%
685,Bellevue,Nebraska,53663,20.50%
686,Wheaton,Illinois,53648,-3.40%
687,Smyrna,Georgia,53438,20.00%
